Open,High,Low,Close,Volume,Year,YTD Gain
1.3667000532150269,1.3703999519348145,1.3636000156402588,1.3667000532150269,0,2003,0.0
1.3660000562667847,1.368499994277954,1.3596999645233154,1.3615000247955322,0,2003,-0.3804805895238017
1.3619999885559082,1.3630000352859497,1.3457000255584717,1.3472000360488892,0,2003,-1.4267956689008598
1.3413000106811523,1.355299949645996,1.3365000486373901,1.354200005531311,0,2003,-0.9146152920906592
1.3549000024795532,1.357699990272522,1.3458000421524048,1.3551000356674194,0,2003,-0.8487610372385324
1.3547999858856201,1.3595000505447388,1.3482999801635742,1.350100040435791,0,2003,-1.2146054095912184
1.3504999876022339,1.3521000146865845,1.3451000452041626,1.3494999408721924,0,2003,-1.2585140611045542
1.3493000268936157,1.3574999570846558,1.3482999801635742,1.3528000116348267,0,2003,-1.0170513674527037
1.3535000085830688,1.363800048828125,1.3497999906539917,1.3518999814987183,0,2003,-1.0829056223048306
1.3522000312805176,1.355299949645996,1.3423999547958374,1.3502000570297241,0,2003,-1.2072873010056662
1.3496999740600586,1.351199984550476,1.343000054359436,1.3451000452041626,0,2003,-1.5804497819439156
1.3449000120162964,1.3513000011444092,1.3375999927520752,1.3401999473571777,0,2003,-1.9389847681289152
1.3396999835968018,1.3481999635696411,1.336899995803833,1.3430999517440796,0,2003,-1.7267945088192849
1.346500039100647,1.3481999635696411,1.3387000560760498,1.3389999866485596,0,2003,-2.026784626319844
1.3394999504089355,1.341599941253662,1.3272000551223755,1.3312000036239624,0,2003,-2.5975011493966083
1.3312000036239624,1.3350000381469727,1.3253999948501587,1.3322999477386475,0,2003,-2.5170193997912427
1.332200050354004,1.3416999578475952,1.3279000520706177,1.3382999897003174,0,2003,-2.0780026640008664
1.3384000062942505,1.3395999670028687,1.3184000253677368,1.32260000705719,0,2003,-3.226753818739958
1.319200038909912,1.3259999752044678,1.3179999589920044,1.3214000463485718,0,2003,-3.314553676930887
1.3221999406814575,1.3314000368118286,1.3205000162124634,1.323199987411499,0,2003,-3.182853889644488
1.3212000131607056,1.3305000066757202,1.3212000131607056,1.3276000022888184,0,2003,-2.860909446387261
1.3276000022888184,1.330199956893921,1.3121999502182007,1.31850004196167,0,2003,-3.5267439362405173
1.3184000253677368,1.3228000402450562,1.3113000392913818,1.3135000467300415,0,2003,-3.8925883085932145
1.315500020980835,1.3219000101089478,1.313599944114685,1.319100022315979,0,2003,-3.4828440071450584
1.319200038909912,1.3250000476837158,1.312999963760376,1.3174999952316284,0,2003,-3.5999162996782075
1.3176000118255615,1.3181999921798706,1.301900029182434,1.3034000396728516,0,2003,-4.6315951618841495
1.3035000562667847,1.3111000061035156,1.3009999990463257,1.3056000471115112,0,2003,-4.4706229402555415
1.305799961090088,1.30840003490448,1.3027000427246094,1.305899977684021,0,2003,-4.44867733691674
1.3075000047683716,1.3131999969482422,1.3055000305175781,1.3108999729156494,0,2003,-4.082832964564043
1.3107999563217163,1.31659996509552,1.3069000244140625,1.3099000453948975,0,2003,-4.1559966055838675
1.3099000453948975,1.3128000497817993,1.3061000108718872,1.311900019645691,0,2003,-4.009660601126363
1.311900019645691,1.3150999546051025,1.3050999641418457,1.3148000240325928,0,2003,-3.7974703418167333
1.3152999877929688,1.3224999904632568,1.3134000301361084,1.3169000148773193,0,2003,-3.6438162287736664
1.319700002670288,1.3377000093460083,1.3184000253677368,1.333799958229065,0,2003,-2.407265215843646
1.3336999416351318,1.3431999683380127,1.3277000188827515,1.3308000564575195,0,2003,-2.6267648613209738
1.330299973487854,1.3355000019073486,1.3278000354766846,1.3339999914169312,0,2003,-2.39262899867253
1.3341000080108643,1.3413000106811523,1.3315000534057617,1.3410999774932861,0,2003,-1.8731305132767884
1.3407000303268433,1.3421000242233276,1.3200000524520874,1.3214000463485718,0,2003,-3.314553676930887
1.3235000371932983,1.3250999450683594,1.3085999488830566,1.312399983406067,0,2003,-3.973078780616446
1.3121999502182007,1.3162000179290771,1.308899998664856,1.3131999969482422,0,2003,-3.9145426343498713
1.3131999969482422,1.3134000301361084,1.2978999614715576,1.3035999536514282,0,2003,-4.616967667130901
1.3035999536514282,1.304800033569336,1.295199990272522,1.2977999448776245,0,2003,-5.041348185750172
1.297700047492981,1.3043999671936035,1.2956000566482544,1.3025000095367432,0,2003,-4.697449416736276
1.3003000020980835,1.315000057220459,1.2984000444412231,1.3141000270843506,0,2003,-3.8486883794977444
1.3137999773025513,1.3170000314712524,1.2969000339508057,1.2999000549316406,0,2003,-4.88768535028925
1.2996000051498413,1.30649995803833,1.2972999811172485,1.3030999898910522,0,2003,-4.653549487640818
1.3035000562667847,1.305999994277954,1.2975000143051147,1.3032000064849854,0,2003,-4.646231379055255
1.3037999868392944,1.3101999759674072,1.2991000413894653,1.30239999294281,0,2003,-4.704767525321829
1.3026000261306763,1.3219000101089478,1.3000999689102173,1.3172999620437622,0,2003,-3.614552516849312
1.3170000314712524,1.3194999694824219,1.3086999654769897,1.3107000589370728,0,2003,-4.0974604593172925
1.311400055885315,1.3128000497817993,1.2999999523162842,1.3037999868392944,0,2003,-4.602331449959795
1.3042000532150269,1.3097000122070312,1.3035999536514282,1.3070000410079956,0,2003,-4.368186864893497
1.3066999912261963,1.308899998664856,1.2930999994277954,1.3004000186920166,0,2003,-4.851103529779333
1.2977999448776245,1.3043999671936035,1.2967000007629395,1.3042000532150269,0,2003,-4.573059015617575
1.3039000034332275,1.3082000017166138,1.295799970626831,1.2965999841690063,0,2003,-5.1291480439411
